X - .MC:I	Y - .MC:I	
-0.77056	-120.7	
-0.76921	-130.7	
-0.76921	-170.7	
-0.76785	-170.7	
-0.76785	-125.7	
-0.7665	-125.7	
-0.7665	-165.7	
-0.76515	-175.7	
-0.76515	-125.7	
-0.76379	-115.7	
-0.76379	-170.7	
-0.76243	-170.7	
-0.76243	-120.7	
-0.76108	-115.7	
-0.76108	-170.7	
-0.75973	-170.7	
-0.75973	-125.7	
-0.75837	-125.7	
-0.75837	-175.7	
-0.75702	-170.7	
-0.75702	-125.7	
-0.75567	-130.7	
-0.75567	-180.7	
-0.75431	-185.7	
-0.75431	-120.7	
-0.75295	-125.7	
-0.75295	-170.7	
-0.7516	-180.7	
-0.7516	-120.7	
-0.75025	-120.7	
-0.75025	-170.7	
-0.74889	-170.7	
-0.74889	-125.7	
-0.74754	-130.7	
-0.74754	-175.7	
-0.74618	-170.7	
-0.74618	-125.7	
-0.74483	-120.7	
-0.74483	-165.7	
-0.74348	-170.7	
-0.74348	-125.7	
-0.74212	-115.7	
-0.74212	-175.7	
-0.74077	-185.7	
-0.74077	-110.7	
-0.73941	-130.7	
-0.73941	-165.7	
-0.73806	-185.7	
-0.73806	-130.7	
-0.7367	-125.7	
-0.7367	-170.7	
-0.73535	-180.7	
-0.73535	-120.7	
-0.73399	-120.7	
-0.73399	-170.7	
-0.73264	-160.7	
-0.73264	-125.7	
-0.73129	-120.7	
-0.73129	-175.7	
-0.72993	-170.7	
-0.72993	-130.7	
-0.72858	-125.7	
-0.72858	-170.7	
-0.72722	-165.7	
-0.72722	-125.7	
-0.72587	-125.7	
-0.72587	-170.7	
-0.72451	-175.7	
-0.72451	-125.7	
-0.72316	-125.7	
-0.72316	-175.7	
-0.72181	-175.7	
-0.72181	-120.7	
-0.72045	-115.7	
-0.72045	-170.7	
-0.7191	-170.7	
-0.7191	-130.7	
-0.71774	-130.7	
-0.71774	-175.7	
-0.71639	-185.7	
-0.71639	-115.7	
-0.71504	-120.7	
-0.71504	-175.7	
-0.71368	-180.7	
-0.71368	-120.7	
-0.71233	-120.7	
-0.71233	-180.7	
-0.71097	-175.7	
-0.71097	-110.7	
-0.70962	-125.7	
-0.70962	-170.7	
-0.70826	-170.7	
-0.70826	-130.7	
-0.70691	-125.7	
-0.70691	-170.7	
-0.70555	-170.7	
-0.70555	-120.7	
-0.7042	-125.7	
-0.7042	-175.7	
-0.70285	-170.7	
-0.70285	-125.7	
-0.70149	-120.7	
-0.70149	-175.7	
-0.70014	-165.7	
-0.70014	-125.7	
-0.69879	-130.7	
-0.69879	-165.7	
-0.69743	-180.7	
-0.69743	-130.7	
-0.69607	-120.7	
-0.69607	-175.7	
-0.69472	-170.7	
-0.69472	-120.7	
-0.69337	-115.7	
-0.69337	-170.7	
-0.69201	-170.7	
-0.69201	-125.7	
-0.69066	-115.7	
-0.69066	-170.7	
-0.6893	-180.7	
-0.6893	-130.7	
-0.68795	-130.7	
-0.68795	-175.7	
-0.6866	-165.7	
-0.6866	-120.7	
-0.68524	-125.7	
-0.68524	-170.7	
-0.68389	-175.7	
-0.68389	-125.7	
-0.68253	-125.7	
-0.68253	-175.7	
-0.68118	-175.7	
-0.68118	-120.7	
-0.67983	-125.7	
-0.67983	-165.7	
-0.67847	-165.7	
-0.67847	-130.7	
-0.67711	-130.7	
-0.67711	-170.7	
-0.67576	-175.7	
-0.67576	-125.7	
-0.6744	-125.7	
-0.6744	-190.7	
-0.67305	-165.7	
-0.67305	-125.7	
-0.6717	-120.7	
-0.6717	-170.7	
-0.67035	-175.7	
-0.67035	-130.7	
-0.66899	-125.7	
