X - .MC:V	Y - .MC:V	
-0.76785	-12.5	
-0.7665	-12.5	
-0.7665	-19.37	
-0.76515	-22.5	
-0.76515	-11.87	
-0.76379	-11.87	
-0.76379	-20	
-0.76243	-18.75	
-0.76243	-12.5	
-0.76108	-11.87	
-0.76108	-20	
-0.75973	-19.37	
-0.75973	-11.87	
-0.75837	-13.12	
-0.75837	-20.62	
-0.75702	-18.75	
-0.75702	-11.87	
-0.75567	-11.87	
-0.75567	-19.37	
-0.75431	-19.37	
-0.75431	-12.5	
-0.75295	-13.75	
-0.75295	-20	
-0.7516	-20.62	
-0.7516	-11.87	
-0.75025	-12.5	
-0.75025	-19.37	
-0.74889	-18.12	
-0.74889	-10.62	
-0.74754	-12.5	
-0.74754	-19.37	
-0.74618	-19.37	
-0.74618	-10.62	
-0.74483	-11.25	
-0.74483	-20	
-0.74348	-21.87	
-0.74348	-8.747	
-0.74212	-11.25	
-0.74212	-18.75	
-0.74077	-21.87	
-0.74077	-11.87	
-0.73941	-13.75	
-0.73941	-19.37	
-0.73806	-21.87	
-0.73806	-12.5	
-0.7367	-12.5	
-0.7367	-20	
-0.73535	-20.62	
-0.73535	-11.87	
-0.73399	-12.5	
-0.73399	-21.87	
-0.73264	-18.75	
-0.73264	-11.87	
-0.73129	-12.5	
-0.73129	-21.87	
-0.72993	-20.62	
-0.72993	-11.87	
-0.72858	-13.75	
-0.72858	-19.37	
-0.72722	-21.25	
-0.72722	-12.5	
-0.72587	-12.5	
-0.72587	-21.87	
-0.72451	-19.37	
-0.72451	-13.12	
-0.72316	-9.998	
-0.72316	-19.37	
-0.72181	-20.62	
-0.72181	-11.87	
-0.72045	-11.25	
-0.72045	-19.37	
-0.7191	-18.75	
-0.7191	-13.75	
-0.71774	-12.5	
-0.71774	-19.37	
-0.71639	-20	
-0.71639	-11.87	
-0.71504	-11.87	
-0.71504	-19.37	
-0.71368	-19.37	
-0.71368	-11.25	
-0.71233	-11.25	
-0.71233	-21.87	
-0.71097	-21.87	
-0.71097	-11.87	
-0.70962	-11.87	
-0.70962	-21.87	
-0.70826	-19.37	
-0.70826	-13.12	
-0.70691	-12.5	
-0.70691	-18.75	
-0.70555	-19.37	
-0.70555	-11.87	
-0.7042	-11.25	
-0.7042	-19.37	
-0.70285	-19.37	
-0.70285	-8.747	
-0.70149	-12.5	
-0.70149	-20.62	
-0.70014	-18.75	
-0.70014	-11.87	
-0.69879	-12.5	
-0.69879	-18.75	
-0.69743	-18.75	
-0.69743	-12.5	
-0.69607	-11.87	
-0.69607	-19.37	
-0.69472	-20	
-0.69472	-13.12	
-0.69337	-10.62	
-0.69337	-19.37	
-0.69201	-20	
-0.69201	-12.5	
-0.69066	-11.87	
-0.69066	-18.75	
-0.6893	-20	
-0.6893	-12.5	
-0.68795	-13.75	
-0.68795	-20	
-0.6866	-19.37	
-0.6866	-11.25	
-0.68524	-11.87	
-0.68524	-20.62	
-0.68389	-20	
-0.68389	-11.87	
-0.68253	-11.25	
-0.68253	-19.37	
-0.68118	-23.12	
-0.68118	-11.25	
-0.67983	-12.5	
-0.67983	-20	
-0.67847	-21.87	
-0.67847	-12.5	
-0.67711	-13.75	
-0.67711	-19.37	
-0.67576	-21.25	
-0.67576	-11.87	
-0.6744	-12.5	
-0.6744	-19.37	
-0.67305	-20	
-0.67305	-13.12	
-0.6717	-11.25	
-0.6717	-20	
-0.67035	-19.37	
-0.67035	-12.5	
-0.66899	-13.75	
-0.66899	-19.37	
-0.66763	-21.25	
-0.66763	-11.87	
-0.66628	-11.87	
-0.66628	-19.37	
-0.66493	-19.37	
-0.66493	-11.87	
-0.66357	-11.87	
-0.66357	-20	
-0.66222	-19.37	
-0.66222	-11.87	
-0.66086	-11.87	
-0.66086	-21.87	
-0.65951	-18.75	
-0.65951	-12.5	
-0.65815	-12.5	
-0.65815	-19.37	
-0.6568	-21.87	
-0.6568	-12.5	
-0.65545	-11.87	
-0.65545	-19.37	
-0.65409	-20	
-0.65409	-11.87	
-0.65274	-12.5	
-0.65274	-20	
-0.65138	-19.37	
-0.65138	-11.25	
-0.65003	-11.87	
-0.65003	-20	
-0.64868	-19.37	
-0.64868	-11.87	
-0.64732	-12.5	
-0.64732	-19.37	
-0.64597	-19.37	
-0.64597	-13.12	
-0.64461	-11.87	
-0.64461	-21.87	
-0.64326	-20	
-0.64326	-12.5	
-0.64191	-12.5	
-0.64191	-20	
-0.64055	-19.37	
-0.64055	-11.25	
-0.63919	-11.87	
-0.63919	-19.37	
-0.63784	-18.75	
-0.63784	-11.87	
-0.63649	-10.62	
-0.63649	-19.37	
-0.63513	-20	
-0.63513	-12.5	
-0.63378	-11.25	
-0.63378	-19.37	
-0.63242	-19.37	
-0.63242	-9.998	
-0.63107	-12.5	
-0.63107	-20.62	
-0.62972	-21.25	
-0.62972	-13.12	
-0.62836	-12.5	
-0.62836	-18.75	
-0.62701	-20	
-0.62701	-11.87	
-0.62565	-11.87	
-0.62565	-20	
-0.6243	-19.37	
-0.6243	-11.87	
-0.62294	-11.87	
-0.62294	-20.62	
-0.62159	-19.37	
-0.62159	-11.87	
-0.62023	-9.998	
-0.62023	-21.25	
-0.61888	-19.37	
-0.61888	-11.87	
-0.61753	-13.75	
-0.61753	-19.37	
-0.61617	-21.25	
-0.61617	-12.5	
-0.61482	-12.5	
-0.61482	-20	
-0.61347	-19.37	
-0.61347	-13.12	
-0.61211	-11.87	
-0.61211	-19.37	
-0.61075	-19.37	
-0.61075	-11.87	
-0.6094	-12.5	
-0.6094	-19.37	
-0.60805	-19.37	
-0.60805	-13.12	
-0.60669	-11.87	
-0.60669	-19.37	
-0.60534	-20.62	
-0.60534	-13.12	
-0.60399	-11.87	
-0.60399	-19.37	
-0.60263	-19.37	
-0.60263	-11.87	
-0.60127	-9.373	
-0.60127	-20	
-0.59992	-19.37	
-0.59992	-9.373	
-0.59857	-10.62	
-0.59857	-19.37	
-0.59721	-18.75	
-0.59721	-11.87	
-0.59586	-11.25	
-0.59586	-20	
-0.5945	-19.37	
-0.5945	-12.5	
-0.59315	-10.62	
-0.59315	-19.37	
-0.5918	-20	
-0.5918	-11.87	
-0.59044	-12.5	
-0.59044	-18.75	
-0.58909	-18.75	
-0.58909	-11.87	
-0.58773	-13.12	
-0.58773	-20.62	
-0.58637	-19.37	
-0.58637	-11.87	
-0.58502	-10.62	
-0.58502	-19.37	
-0.58367	-19.37	
-0.58367	-13.12	
-0.58231	-12.5	
-0.58231	-21.25	
-0.58096	-20	
-0.58096	-13.12	
-0.57961	-12.5	
-0.57961	-21.87	
-0.57825	-20	
-0.57825	-11.87	
-0.57689	-12.5	
-0.57689	-21.25	
-0.57554	-19.37	
-0.57554	-7.498	
-0.57419	-12.5	
-0.57419	-20.62	
-0.57283	-20	
-0.57283	-13.12	
-0.57148	-11.87	
-0.57148	-18.75	
-0.57013	-23.75	
-0.57013	-9.998	
-0.56877	-12.5	
-0.56877	-18.75	
-0.56741	-18.75	
-0.56741	-11.87	
-0.56606	-11.87	
-0.56606	-20	
-0.56471	-19.37	
-0.56471	-11.25	
-0.56336	-11.87	
-0.56336	-19.37	
-0.562	-20.62	
-0.562	-11.25	
-0.56065	-11.87	
-0.56065	-20	
-0.55929	-18.75	
-0.55929	-12.5	
-0.55793	-12.5	
-0.55793	-19.37	
-0.55658	-20	
-0.55658	-12.5	
-0.55523	-11.25	
-0.55523	-20	
-0.55387	-20	
-0.55387	-11.25	
-0.55252	-11.25	
-0.55252	-18.12	
-0.55117	-19.37	
-0.55117	-12.5	
-0.54981	-12.5	
-0.54981	-21.25	
-0.54845	-19.37	
-0.54845	-13.12	
-0.5471	-12.5	
